deliverable,value,units
"Slug-catcher surge volume (design, x surge_factor; governed by riser inventory)",98.19,m3
"  ...riser liquid inventory (P90, before surge_factor; ascent 37.8 deg — governs above 10 deg)",61.37,m3
  ...hydrodynamic-period basis (one slug period x surge_factor),0.40,m3
Design subcooling (P90),6.70,C
Required MEG concentration,30.7,wt%
MEG injection rate,33886.3,L/h
MEG injected at inlet,0.0,wt%
Under-inhibited length,12.34,km
Effective heat-transfer U,22.00,W/m2K
Cooldown to hydrate (no-touch time),0.00,h
Slurry relative viscosity,1.62,-
Slurry transportable?,True,-
"Peak mixture velocity (point max — NOT grid-converged, read as a flag)",8.28,m/s
"Mixture velocity, 95th percentile of route (converged — design basis)",2.96,m/s
Slug-unit length (over the slugging reach),26.7 mean / 80.6 max,m — over 100 % of the route
Erosional velocity limit (API 14E),5.29,m/s
Total line pressure drop,86.3,bar
Probability of plugging (run),0,%
Time-to-plug (P50),n/a — nothing plugged,h
Coupled hot-spot location,2.97,km
Max coupling number Phi_SH,1.659,-
Phi_SH reported at plot cap (saturated)?,False,-
"Phi_SH shear-limited (near-zero velocity, magnitude not resolved)?",False,-
Monitor location,29.03,km
Monitor temperature,9.5,C
Bulk superficial liquid velocity,0.65,m/s
Line-median mixture velocity,2.45,m/s
Peak wall deposit,8.8,mm
Wall deposit at full bore?,False,-
Deposit (hydrate-mass equivalent),6.2,mm
No-touch time source,already-subcooled,-
Mass-conservation error,0.00,%
Liquid discarded at the bore-closure bound,0.00,% of liquid in — a 1-D model limit once the bore shuts; not a solver error
Mass-balance reliability warning,False,-
