deliverable,value,units
"Slug-catcher surge volume (design, x surge_factor)",0.39,m3
Design subcooling (P90),8.64,C
Required MEG concentration,35.4,wt%
MEG injection rate,42013.6,L/h
MEG injected at inlet,0.0,wt%
Under-inhibited length,32.00,km
Effective heat-transfer U,22.00,W/m2K
Cooldown to hydrate (no-touch time),0.00,h
Slurry relative viscosity,31622776.60,-
Slurry transportable?,False,-
Peak mixture velocity,5.56,m/s
Slug-unit length (over the slugging reach),5.7 mean / 14.2 max,m — over 6 % of the route
Erosional velocity limit (API 14E),8.00,m/s
Total line pressure drop,15.8,bar
Probability of plugging (run),92,%
Time-to-plug (P50),16.1,h
Coupled hot-spot location,1.14,km
Max coupling number Phi_SH,1467,-
Phi_SH reported at plot cap (saturated)?,False,-
Monitor location,29.03,km
Monitor temperature,4.4,C
Bulk superficial liquid velocity,0.65,m/s
Line-median mixture velocity,-0.00,m/s
Peak wall deposit,117.1,mm
Wall deposit at full bore?,True,-
Deposit (hydrate-mass equivalent),35.0,mm
No-touch time source,already-subcooled,-
Mass-conservation error,0.00,%
Liquid discarded at the bore-closure bound,0.00,% of liquid in — a 1-D model limit once the bore shuts; not a solver error
Mass-balance reliability warning,False,-
